Equipment_ID,Type,Site_ID,Check_In_Date,Check_Out_Date,Engine_Hours_Day,Idle_Hours_Day,Rental_Days,Last_Operator_ID,is_anomaly,anomaly_type
EQX1131,Excavator,S005,2024-03-25,2024-04-10,2.8,4.9,16,OP111,0,none
EQX1085,Excavator,S003,2024-07-11,2024-07-21,7.0,1.5,10,OP113,0,none
EQX1151,Compactor,S007,2025-05-23,2025-06-01,6.1,3.1,9,OP126,0,none
EQX1087,Compactor,S010,2024-10-01,2024-10-09,5.8,1.5,8,OP139,0,none
EQX1031,Compactor,S004,2024-11-23,2024-11-30,3.5,4.2,7,OP101,0,none
EQX1035,Crane,S005,2024-03-11,2024-03-22,5.5,3.3,11,OP139,0,none
EQX1135,Grader,S010,2024-04-14,2024-04-27,7.1,2.4,13,OP114,0,none
EQX1034,Bulldozer,S012,2025-07-31,2025-08-14,1.8,7.0,14,OP131,0,none
EQX1063,Grader,S010,2025-01-12,2025-01-23,8.2,2.8,11,OP133,0,none
EQX1108,Bulldozer,S007,2024-11-01,2024-12-01,8.6,3.7,30,OP123,0,none
EQX1177,Crane,S012,2024-10-31,2024-11-08,0.6,6.0,8,OP137,0,none
EQX1191,Loader,S007,2024-12-04,2024-12-20,10.6,4.2,16,OP103,0,none
EQX1097,Bulldozer,S003,2025-02-24,2025-03-14,19.1,13.2,18,OP124,1,impossible_hours
EQX1012,Loader,S005,2024-10-17,2024-10-23,3.4,1.4,6,OP139,0,none
EQX1204,Excavator,S005,2025-11-24,2025-12-08,4.4,3.1,14,OP102,0,none
EQX1015,Crane,S005,2024-10-17,2024-10-23,6.4,0.0,6,OP117,0,none
EQX1109,Excavator,S011,2024-02-03,2024-02-17,6.1,4.0,14,OP102,0,none
EQX1067,Grader,S007,2024-05-24,2024-06-02,8.5,3.1,9,OP117,0,none
EQX1198,Loader,S005,2024-10-30,2024-11-10,5.9,6.2,11,OP110,0,none
EQX1034,Bulldozer,S008,2024-06-05,2024-06-21,5.9,3.2,16,OP101,0,none
EQX1069,Excavator,S008,2025-01-25,2025-02-11,5.1,4.8,17,OP131,0,none
EQX1164,Excavator,S001,2024-12-03,2024-12-26,6.0,3.4,23,OP108,0,none
EQX1035,Crane,S001,2025-04-08,2025-04-15,4.0,6.5,7,OP115,0,none
EQX1116,Loader,S005,2025-06-05,2025-06-15,7.7,4.3,10,OP117,0,none
EQX1007,Compactor,S010,2024-03-05,2024-03-15,9.2,5.1,10,OP127,0,none
EQX1064,Compactor,S012,2025-11-27,2025-12-06,5.9,3.3,9,OP119,0,none
EQX1018,Excavator,S009,2024-07-10,2024-07-22,6.5,1.5,12,OP131,0,none
EQX1088,Crane,S012,2025-06-17,2025-06-25,6.5,4.4,8,OP107,0,none
EQX1015,Crane,S004,2024-10-30,2024-11-04,6.1,3.7,5,OP128,0,none
EQX1182,Loader,S009,2025-10-26,2025-11-10,10.3,5.4,15,OP130,0,none
EQX1131,Excavator,S009,2024-10-03,2024-10-10,12.2,5.1,7,OP130,0,none
EQX1119,Crane,S002,2025-12-20,2025-12-29,10.3,4.6,9,OP132,0,none
EQX1138,Crane,S003,2025-05-04,2025-05-09,5.5,1.3,5,OP119,0,none
EQX1092,Grader,S007,2024-03-10,2024-03-13,2.8,3.9,3,OP102,0,none
EQX1179,Loader,S008,2024-05-01,2024-05-08,6.8,4.7,7,OP112,0,none
EQX1079,Grader,S006,2025-05-22,2025-06-03,5.9,6.4,12,OP135,0,none
EQX1206,Bulldozer,S003,2025-01-18,2025-02-01,5.7,5.0,14,OP106,0,none
EQX1008,Compactor,S009,2024-05-10,2024-05-16,4.4,5.8,6,OP101,0,none
EQX1010,Crane,S003,2025-03-13,2025-03-19,4.8,2.2,6,OP117,0,none
EQX1215,Compactor,S001,2025-09-21,2025-09-26,8.5,3.4,5,OP107,0,none
EQX1042,Compactor,S010,2024-12-05,2024-12-14,9.8,3.4,9,OP128,0,none
EQX1096,Grader,S007,2025-04-19,2025-04-26,11.0,0.7,7,OP103,0,none
EQX1038,Crane,S002,2024-03-10,2024-03-14,8.2,0.0,4,OP127,0,none
EQX1189,Compactor,S007,2024-03-21,2024-03-26,6.2,2.8,5,OP122,0,none
EQX1118,Compactor,S010,2024-07-28,2024-08-08,9.8,3.8,11,,1,no_operator
EQX1096,Grader,S007,2024-07-25,2024-08-03,8.8,0.6,9,OP124,0,none
EQX1153,Excavator,S005,2025-11-04,2025-11-21,4.0,3.2,17,OP133,0,none
EQX1030,Grader,S010,2024-04-29,2024-05-11,8.6,2.0,12,OP102,0,none
EQX1100,Loader,S004,2025-04-15,2025-04-22,8.4,0.0,7,OP133,0,none
EQX1003,Loader,S009,2025-10-04,2025-10-15,6.7,9.6,11,OP133,0,none
EQX1031,Compactor,S008,2024-04-16,2024-04-19,11.0,0.8,3,OP123,0,none
EQX1063,Grader,S007,2025-10-11,2025-10-24,8.8,4.0,13,OP110,0,none
EQX1106,Compactor,S012,2024-07-14,2024-07-24,8.5,3.0,10,OP139,0,none
EQX1182,Loader,S009,2024-01-15,2024-01-30,8.9,1.6,15,OP128,0,none
EQX1115,Excavator,S008,2024-01-16,2024-01-26,7.7,3.8,10,OP131,0,none
EQX1168,Compactor,S006,2025-11-15,2025-11-24,5.1,4.9,9,OP102,0,none
EQX1077,Bulldozer,S007,2025-04-11,2025-05-05,4.9,5.8,24,OP123,0,none
EQX1009,Excavator,S009,2024-03-03,2024-03-15,9.9,2.4,12,OP118,0,none
EQX1034,Bulldozer,S004,2025-02-02,2025-02-26,5.4,2.2,24,OP116,0,none
EQX1219,Loader,S006,2024-01-03,2024-01-14,0.0,4.9,11,OP107,0,none
EQX1003,Loader,S009,2025-02-27,2025-03-12,7.9,0.0,13,OP114,0,none
EQX1177,Crane,S011,2024-10-13,2024-10-29,6.5,0.0,16,OP108,0,none
EQX1020,Grader,S010,2025-12-10,2025-12-18,7.5,2.5,8,OP121,0,none
EQX1102,Grader,S007,2024-04-26,2024-05-10,6.7,7.3,14,OP130,0,none
EQX1113,Bulldozer,S003,2025-08-26,2025-09-14,8.3,3.3,19,OP113,0,none
EQX1046,Compactor,S009,2024-10-09,2024-10-12,3.4,2.7,3,OP105,0,none
EQX1185,Compactor,S007,2025-10-10,2025-10-18,8.4,2.8,8,OP118,0,none
EQX1062,Crane,S004,2025-10-23,2025-10-30,4.1,3.2,7,OP135,0,none
EQX1126,Crane,S008,2024-12-14,2024-12-19,8.5,2.4,5,OP106,0,none
EQX1132,Loader,S008,2024-11-08,2024-11-16,10.8,2.7,8,OP105,0,none
EQX1202,Loader,S009,2024-03-25,2024-04-03,4.3,0.1,9,OP118,0,none
EQX1151,Compactor,S004,2025-05-05,2025-05-13,7.5,10.3,8,OP101,0,none
EQX1144,Grader,S010,2024-10-18,2024-11-04,5.7,6.1,17,OP113,0,none
EQX1140,Excavator,S012,2024-06-05,2024-06-19,4.7,0.4,14,OP128,0,none
EQX1201,Compactor,S004,2024-11-11,2024-11-15,11.0,4.3,4,OP102,0,none
EQX1071,Excavator,S004,2025-12-13,2025-12-18,3.9,0.1,5,OP107,0,none
EQX1093,Crane,S012,2024-06-05,2024-06-07,7.1,7.4,2,OP122,0,none
EQX1081,Grader,S010,2025-04-01,2025-04-09,3.9,4.1,8,OP128,0,none
EQX1181,Loader,S001,2024-03-02,2024-03-12,7.8,0.0,10,OP109,0,none
EQX1112,Excavator,S001,2025-06-26,2025-07-05,11.2,4.6,9,OP127,0,none
EQX1080,Compactor,S012,2024-02-17,2024-02-24,7.3,7.9,7,OP111,0,none
EQX1064,Compactor,S001,2025-01-07,2025-01-16,1.3,4.0,9,OP124,0,none
EQX1186,Grader,S010,2024-05-15,2024-05-30,4.8,2.3,15,OP124,0,none
EQX1180,Compactor,S009,2024-07-31,2024-08-04,4.5,2.7,4,OP138,0,none
EQX1165,Grader,S007,2025-10-02,2025-10-15,7.5,2.5,13,OP113,0,none
EQX1017,Grader,S007,2024-11-16,2024-11-21,6.0,4.0,5,OP111,0,none
EQX1035,Crane,S001,2024-11-21,2024-12-01,8.8,0.0,10,OP103,0,none
EQX1175,Excavator,S012,2024-07-26,2024-08-12,8.6,4.3,17,OP113,0,none
EQX1031,Compactor,S005,2024-01-19,2024-01-27,7.8,9.2,8,OP137,0,none
EQX1058,Grader,S011,2024-06-23,2024-07-06,11.4,1.6,13,OP137,0,none
EQX1018,Excavator,S011,2025-02-08,2025-02-26,5.5,2.4,18,OP139,0,none
EQX1204,Excavator,S007,2024-05-13,2024-05-30,12.8,3.9,17,OP102,0,none
EQX1169,Bulldozer,S008,2025-01-20,2025-02-16,7.8,4.1,27,OP104,0,none
EQX1043,Compactor,S002,2024-06-07,2024-06-12,5.5,2.4,5,OP112,0,none
EQX1213,Excavator,S008,2025-04-25,2025-05-21,7.7,4.9,26,OP125,0,none
EQX1077,Bulldozer,S008,2025-03-14,2025-04-06,7.2,4.2,23,OP127,0,none
EQX1195,Excavator,S004,2024-02-13,2024-03-02,5.9,2.5,18,OP109,0,none
EQX1091,Excavator,S010,2025-02-13,2025-02-20,9.1,1.1,7,OP104,0,none
EQX1181,Loader,S001,2024-01-27,2024-02-03,8.7,5.4,7,OP108,0,none
EQX1074,Bulldozer,S005,2025-03-27,2025-04-11,3.1,5.6,15,OP119,0,none
EQX1156,Grader,S010,2024-06-22,2024-07-01,8.9,3.1,9,OP131,0,none
EQX1187,Bulldozer,S010,2024-05-10,2024-06-01,9.0,1.2,22,OP117,0,none
EQX1189,Compactor,S006,2025-11-01,2025-11-05,3.0,4.4,4,OP104,0,none
EQX1073,Loader,S009,2025-10-07,2025-10-16,3.2,8.2,9,OP118,0,none
EQX1029,Excavator,S008,2025-02-11,2025-02-27,5.2,1.5,16,OP132,0,none
EQX1057,Crane,S002,2024-11-09,2024-11-17,7.8,1.3,8,OP130,0,none
EQX1172,Crane,S004,2025-04-11,2025-04-16,7.5,5.0,5,OP103,0,none
EQX1159,Compactor,S004,2025-12-02,2025-12-13,8.8,7.4,11,OP131,0,none
EQX1101,Loader,S009,2024-03-09,2024-03-25,2.2,4.7,16,OP121,0,none
EQX1026,Excavator,S004,2024-01-12,2024-01-21,6.5,2.3,9,OP123,0,none
EQX1004,Grader,S002,2025-08-08,2025-08-23,7.3,3.0,15,OP114,0,none
EQX1165,Grader,S010,2025-03-21,2025-04-06,3.2,4.8,16,OP125,0,none
EQX1072,Crane,S001,2025-03-31,2025-04-02,5.5,0.8,2,OP118,0,none
EQX1027,Crane,S002,2025-08-16,2025-08-26,9.5,4.6,10,OP106,0,none
EQX1049,Grader,S010,2024-08-15,2024-08-21,6.3,8.8,6,OP124,0,none
EQX1111,Crane,S002,2025-05-25,2025-05-31,5.7,4.1,6,OP105,0,none
EQX1166,Bulldozer,S003,2024-11-27,2024-12-19,4.8,1.9,22,OP135,0,none
EQX1130,Grader,S006,2025-08-22,2025-09-03,5.3,1.1,12,OP126,0,none
EQX1044,Bulldozer,S011,2025-12-02,2025-12-13,8.7,0.0,11,OP116,0,none
EQX1218,Excavator,S001,2025-06-08,2025-06-29,6.3,8.8,21,OP134,0,none
EQX1167,Compactor,S007,2025-08-31,2025-09-08,6.2,2.4,8,OP128,0,none
EQX1211,Grader,S001,2025-11-30,2025-12-11,5.3,1.4,11,OP109,0,none
EQX1166,Bulldozer,S005,2025-07-01,2025-07-27,5.8,4.8,26,OP111,0,none
EQX1165,Grader,S004,2025-09-20,2025-09-27,10.6,1.3,7,OP129,0,none
EQX1009,Excavator,S002,2024-08-27,2024-09-16,8.0,3.5,20,OP122,0,none
EQX1032,Loader,S002,2024-12-11,2024-12-26,3.9,9.1,15,OP126,0,none
EQX1042,Compactor,S006,2024-04-05,2024-04-13,7.5,5.9,8,OP104,0,none
EQX1160,Compactor,S010,2025-12-14,2025-12-21,9.0,5.6,7,OP131,0,none
EQX1115,Excavator,S005,2024-05-03,2024-05-19,8.2,0.0,16,OP135,0,none
EQX1174,Loader,S012,2025-01-24,2025-02-05,2.4,3.6,12,OP136,0,none
EQX1064,Compactor,S007,2024-05-11,2024-05-17,4.3,0.9,6,OP124,0,none
EQX1182,Loader,S011,2024-03-22,2024-04-02,4.8,3.2,11,OP136,0,none
EQX1032,Loader,S003,2024-10-14,2024-10-28,3.4,5.1,14,OP111,0,none
EQX1070,Crane,S001,2025-03-10,2025-03-17,8.7,5.7,7,OP132,0,none
EQX1167,Compactor,S009,2024-10-15,2024-10-25,5.6,1.4,10,OP114,0,none
EQX1084,Excavator,S007,2025-02-25,2025-03-12,9.5,4.7,15,OP106,0,none
EQX1061,Grader,S010,2024-02-07,2024-02-14,4.1,7.2,7,OP132,0,none
EQX1137,Loader,S003,2025-11-23,2025-12-07,6.1,3.3,14,OP130,0,none
EQX1015,Crane,S001,2025-06-23,2025-06-26,3.6,4.8,3,OP123,0,none
EQX1063,Grader,S006,2024-04-26,2024-05-04,5.6,1.4,8,OP115,0,none
EQX1074,Bulldozer,S009,2025-08-28,2025-09-10,5.2,3.2,13,OP117,0,none
EQX1195,Excavator,S008,2024-11-04,2024-11-26,5.1,5.6,22,OP118,0,none
EQX1198,Loader,S012,2024-12-27,2025-01-01,1.2,2.8,5,OP139,0,none
EQX1129,Excavator,S006,2024-04-04,2024-04-16,9.4,4.1,12,OP139,0,none
EQX1071,Excavator,S009,2025-01-06,2025-01-22,0.7,4.1,16,OP107,0,none
EQX1211,Grader,S010,2025-10-03,2025-10-13,2.3,4.9,10,OP128,0,none
EQX1103,Bulldozer,S010,2024-01-16,2024-02-05,6.3,4.7,20,OP124,0,none
EQX1106,Compactor,S011,2025-05-28,2025-06-07,9.0,5.7,10,OP102,0,none
EQX1061,Grader,S005,2024-11-13,2024-11-24,6.4,1.2,11,OP130,0,none
EQX1008,Compactor,S007,2025-01-19,2025-01-27,8.9,4.9,8,OP125,0,none
EQX1088,Crane,S012,2025-04-23,2025-05-02,3.5,1.4,9,OP105,0,none
EQX1021,Compactor,S007,2025-05-13,2025-05-24,7.8,3.6,11,OP137,0,none
EQX1152,Loader,S011,2025-01-01,2025-01-07,7.4,0.0,6,OP103,0,none
EQX1086,Excavator,S012,2024-04-01,2024-04-13,6.8,6.2,12,OP139,0,none
EQX1185,Compactor,S007,2025-09-30,2025-10-06,1.7,6.7,6,OP119,0,none
EQX1029,Excavator,S008,2025-12-07,2025-12-27,6.2,0.0,20,OP114,0,none
EQX1202,Loader,S004,2024-10-14,2024-10-25,7.6,7.4,11,OP106,0,none
EQX1026,Excavator,S001,2025-04-12,2025-04-26,7.3,2.2,14,OP136,0,none
EQX1060,Excavator,S001,2025-09-12,2025-09-24,0.2,18.1,12,OP123,1,excessive_idle
EQX1029,Excavator,S005,2024-12-29,2025-01-15,7.5,4.2,17,OP102,0,none
EQX1211,Grader,S010,2024-02-26,2024-03-05,5.4,0.6,8,OP116,0,none
EQX1062,Crane,S005,2025-01-08,2025-01-09,8.5,5.1,1,OP104,0,none
EQX1055,Compactor,S010,2024-05-15,2024-05-25,7.9,1.8,10,OP122,0,none
EQX1130,Grader,S007,2024-03-09,2024-03-17,8.7,2.3,8,OP134,0,none
EQX1199,Excavator,S005,2024-11-01,2024-11-21,9.9,0.4,20,OP139,0,none
EQX1199,Excavator,S005,2025-05-03,2025-05-22,8.3,3.2,19,OP107,0,none
EQX1160,Compactor,S011,2025-03-26,2025-04-02,5.8,8.6,7,OP114,0,none
EQX1090,Crane,S012,2025-02-14,2025-02-20,12.2,0.0,6,OP139,0,none
EQX1191,Loader,S007,2025-03-19,2025-04-04,6.6,4.0,16,OP112,0,none
EQX1128,Excavator,S002,2025-05-03,2025-05-21,3.6,4.3,18,OP103,0,none
EQX1061,Grader,S007,2024-03-18,2024-03-25,7.5,0.1,7,OP124,0,none
EQX1172,Crane,S002,2025-08-05,2025-08-14,7.9,2.7,9,OP107,0,none
EQX1080,Compactor,S010,2025-04-22,2025-04-26,5.9,0.9,4,OP136,0,none
EQX1076,Bulldozer,S010,2024-06-26,2024-07-19,1.1,19.8,23,OP115,1,excessive_idle
EQX1051,Excavator,S004,2025-03-31,2025-04-25,6.3,0.6,25,OP118,0,none
EQX1145,Crane,,2025-03-21,2025-03-24,4.2,3.0,3,OP129,1,unassigned_site
EQX1209,Excavator,S012,2024-10-05,2024-10-19,4.8,2.3,14,OP127,0,none
EQX1122,Grader,S007,2024-12-31,2025-01-12,6.0,4.0,12,OP103,0,none
EQX1035,Crane,S012,2025-10-21,2025-10-26,4.9,2.8,5,OP104,0,none
EQX1113,Bulldozer,S011,2025-03-27,2025-04-10,5.6,3.4,14,OP118,0,none
EQX1122,Grader,S001,2025-10-02,2025-10-11,5.6,6.0,9,OP115,0,none
EQX1195,Excavator,S005,2024-01-23,2024-01-30,6.7,2.1,7,OP104,0,none
EQX1155,Excavator,S012,2024-12-02,2024-12-20,4.8,0.3,18,OP139,0,none
EQX1160,Compactor,S012,2025-12-06,2025-12-11,2.3,0.1,5,OP112,0,none
EQX1031,Compactor,S009,2025-11-28,2025-12-07,10.3,4.9,9,OP117,0,none
EQX1083,Compactor,S004,2024-02-28,2024-03-04,7.6,4.0,5,OP121,0,none
EQX1185,Compactor,S007,2025-07-06,2025-07-16,9.8,1.6,10,OP121,0,none
EQX1172,Crane,S006,2025-11-24,2025-12-02,5.8,1.0,8,OP112,0,none
EQX1140,Excavator,S003,2024-12-01,2024-12-14,6.0,0.0,13,OP139,0,none
EQX1109,Excavator,S002,2025-04-05,2025-04-16,6.0,5.3,11,OP132,0,none
EQX1200,Bulldozer,S001,2024-09-24,2024-10-10,9.6,6.6,16,OP114,0,none
EQX1095,Bulldozer,,2025-07-19,2025-08-04,3.9,2.8,16,OP113,1,unassigned_site
EQX1007,Compactor,S006,2025-08-01,2025-08-07,6.8,5.3,6,OP128,0,none
EQX1070,Crane,S009,2024-03-01,2024-03-07,2.7,3.7,6,OP102,0,none
EQX1074,Bulldozer,S011,2025-05-19,2025-06-13,7.2,4.3,25,OP114,0,none
EQX1079,Grader,S009,2025-09-21,2025-09-25,3.0,3.1,4,OP133,0,none
EQX1134,Bulldozer,S005,2025-07-19,2025-08-11,6.3,5.4,23,OP132,0,none
EQX1047,Bulldozer,S003,2024-02-06,2024-02-23,3.7,0.0,17,OP112,0,none
EQX1198,Loader,S003,2025-05-28,2025-06-08,3.2,1.7,11,OP116,0,none
EQX1028,Excavator,S009,2025-10-27,2025-11-15,6.7,1.6,19,OP133,0,none
EQX1031,Compactor,S010,2025-01-24,2025-01-29,9.3,4.9,5,OP130,0,none
EQX1092,Grader,S008,2025-04-15,2025-04-21,3.9,0.0,6,OP130,0,none
EQX1051,Excavator,S001,2025-07-14,2025-07-24,9.8,2.9,10,OP134,0,none
EQX1092,Grader,S010,2024-08-31,2024-09-08,13.1,3.5,8,OP116,0,none
EQX1050,Excavator,S007,2025-05-27,2025-06-11,5.1,2.1,15,OP125,0,none
EQX1120,Grader,S010,2025-02-12,2025-02-20,6.5,5.7,8,OP123,0,none
EQX1205,Excavator,S005,2025-03-11,2025-03-24,1.5,6.4,13,OP126,0,none
EQX1151,Compactor,S004,2024-11-26,2024-11-29,5.8,4.4,3,OP119,0,none
EQX1163,Bulldozer,S003,2025-10-25,2025-11-21,6.8,3.8,27,OP129,0,none
EQX1205,Excavator,S001,2024-03-22,2024-03-29,5.3,2.8,7,OP103,0,none
EQX1202,Loader,S005,2024-08-17,2024-09-04,9.0,4.4,18,OP135,0,none
EQX1023,Loader,S011,2025-08-18,2025-09-05,10.2,4.4,18,OP137,0,none
EQX1198,Loader,S004,2024-05-07,2024-05-16,8.9,7.2,9,OP102,0,none
EQX1135,Grader,S006,2024-01-09,2024-01-21,2.8,4.2,12,OP121,0,none
EQX1065,Grader,S010,2024-08-20,2024-08-21,7.3,0.0,1,OP133,0,none
EQX1152,Loader,S004,2024-11-27,2024-12-05,6.2,4.5,8,OP116,0,none
EQX1031,Compactor,S007,2025-09-20,2025-09-25,6.1,0.0,5,OP117,0,none
EQX1172,Crane,S004,2024-06-20,2024-06-22,3.5,1.6,2,OP127,0,none
EQX1198,Loader,S011,2024-04-09,2024-04-16,7.6,0.9,7,OP106,0,none
EQX1158,Grader,S006,2025-03-14,2025-03-23,6.3,7.9,9,OP105,0,none
EQX1038,Crane,S012,2025-03-26,2025-03-30,7.0,0.0,4,OP121,0,none
EQX1004,Grader,S002,2024-04-25,2024-05-04,10.4,3.3,9,OP118,0,none
EQX1183,Crane,S004,2025-12-05,2025-12-12,6.6,3.1,7,OP137,0,none
EQX1197,Grader,S007,2024-08-29,2024-09-08,5.7,5.0,10,OP130,0,none
EQX1177,Crane,,2024-12-22,2024-12-28,8.7,6.8,6,OP120,1,unassigned_site
EQX1070,Crane,S002,2024-11-22,2024-12-02,9.2,5.2,10,OP114,0,none
EQX1202,Loader,S005,2025-02-21,2025-05-15,4.9,5.3,83,OP116,1,extended_rental
EQX1132,Loader,S004,2025-06-22,2025-06-29,3.7,0.5,7,OP114,0,none
EQX1158,Grader,S007,2025-09-24,2025-09-26,10.2,3.2,2,OP114,0,none
EQX1138,Crane,S003,2024-06-07,2024-06-10,6.6,8.3,3,OP115,0,none
EQX1101,Loader,S002,2024-12-29,2025-01-15,4.1,2.4,17,OP137,0,none
EQX1168,Compactor,S001,2024-04-27,2024-05-04,1.0,4.1,7,OP120,0,none
EQX1114,Grader,S004,2024-03-13,2024-03-20,7.9,2.7,7,OP127,0,none
EQX1035,Crane,S003,2024-11-12,2024-11-18,5.0,5.7,6,OP128,0,none
EQX1052,Excavator,S004,2024-03-30,2024-04-15,0.6,2.7,16,OP109,0,none
EQX1089,Excavator,S001,2025-07-25,2025-08-07,5.9,3.5,13,OP103,0,none
EQX1084,Excavator,S002,2024-03-01,2024-03-13,6.0,5.5,12,OP102,0,none
EQX1111,Crane,S004,2025-07-18,2025-07-28,4.5,1.3,10,OP114,0,none
EQX1029,Excavator,S005,2025-08-17,2025-09-06,8.3,2.9,20,OP132,0,none
EQX1165,Grader,S006,2024-02-10,2024-02-17,6.6,2.0,7,OP134,0,none
EQX1155,Excavator,S011,2024-05-12,2024-05-27,4.6,4.5,15,OP117,0,none
EQX1002,Crane,S001,2025-03-12,2025-03-16,6.5,3.0,4,OP117,0,none
EQX1085,Excavator,S010,2025-08-14,2025-08-31,5.4,2.1,17,OP121,0,none
EQX1085,Excavator,S011,2024-03-01,2024-03-17,5.2,2.8,16,OP120,0,none
EQX1007,Compactor,S001,2025-09-26,2025-09-30,9.0,10.6,4,OP127,0,none
EQX1160,Compactor,S006,2024-08-31,2024-09-10,9.6,4.6,10,OP125,0,none
EQX1158,Grader,S010,2025-11-12,2025-11-18,1.3,7.0,6,OP132,0,none
EQX1149,Crane,S002,2024-12-02,2024-12-04,6.7,1.7,2,OP111,0,none
EQX1173,Bulldozer,S008,2025-05-16,2025-06-10,8.9,6.0,25,OP105,0,none
EQX1106,Compactor,S010,2024-12-02,2024-12-07,14.1,12.1,5,OP132,1,impossible_hours
EQX1211,Grader,S007,2025-04-21,2025-04-29,8.3,8.8,8,OP129,0,none
EQX1040,Grader,S007,2025-10-23,2025-11-06,7.6,2.7,14,OP126,0,none
EQX1077,Bulldozer,S008,2024-10-09,2024-10-23,4.5,6.1,14,,1,no_operator
EQX1043,Compactor,S010,2024-04-24,2024-05-01,6.1,1.1,7,OP129,0,none
EQX1088,Crane,S004,2024-03-05,2024-03-13,10.3,6.2,8,OP121,0,none
EQX1198,Loader,S011,2024-08-15,2024-09-01,8.8,6.1,17,OP124,0,none
EQX1096,Grader,S007,2025-11-23,2025-12-04,5.9,4.9,11,OP121,0,none
EQX1083,Compactor,S006,2024-11-15,2024-11-21,8.6,1.5,6,OP131,0,none
EQX1083,Compactor,S009,2024-03-23,2024-03-27,8.4,3.1,4,OP139,0,none
EQX1064,Compactor,S007,2025-08-23,2025-08-31,5.9,3.9,8,OP109,0,none
EQX1082,Crane,S004,2025-10-01,2025-10-05,1.3,21.8,4,OP105,1,excessive_idle
EQX1112,Excavator,S006,2025-07-15,2025-08-03,1.2,0.5,19,OP122,0,none
EQX1122,Grader,S006,2024-01-13,2024-01-23,8.8,3.8,10,OP117,0,none
EQX1124,Crane,S002,2025-05-25,2025-06-03,7.9,0.0,9,OP133,0,none
EQX1204,Excavator,S011,2024-11-01,2024-11-16,6.9,11.6,15,OP135,0,none
